greertonWeekdaySchoolHolidayFalse,greertonWeekendSchoolHolidayFalse,greertonWeekdaySchoolHolidayTrue,greertonWeekendSchoolHolidayTrue,papamoaWeekdaySchoolHolidayFalse,papamoaWeekendSchoolHolidayFalse,papamoaWeekdaySchoolHolidayTrue,papamoaWeekendSchoolHolidayTrue,malemeWeekdaySchoolHolidayFalse,malemeWeekendSchoolHolidayFalse,malemeWeekdaySchoolHolidayTrue,malemeWeekendSchoolHolidayTrue,standbyWeekdaySchoolHolidayFalse,standbyWeekendSchoolHolidayFalse,standbyWeekdaySchoolHolidayTrue,standbyWeekendSchoolHolidayTrue
OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,SS01,SS01,SS01,SS01
T26301T,T26701,T26301H,T26701,T28301T,T28701,T28301H,T28701,T27301T,,,,SS02,SS02,SS02,SS02
T26302T,T26702,T26302H,T26702,T28302T,T28702,T28302H,T28702,T27303T,,,,SS03,SS03,SS03,SS03
T26303T,T26703,T26303H,T26703,T28303T,T28703,T28303H,T28703,T27305T,,,,SS04,SS04,SS04,SS04
T26304T,T26704,T26304H,T26704,T28304T,T28704,T28304H,T28704,T27307T,,,,SS05,SS05,SS05,SS05
T26305T,T26705,T26305H,T26705,T28305T,T28705,T28305H,T28705,T27309T,,,,SS06,SS06,SS06,SS06
T26306T,T26706,T26306H,T26706,T28307T,T28707,T28306H,T28707,T27311T,,,,SS07,SS07,SS07,SS07
T26307T,T26707,T26307H,T26707,T28309T,T28709,T28307H,T28709,T27313T,,,,SS08,SS08,SS08,SS08
T26308T,T26709,T26308H,T26709,T28311T,T28711,T28309H,T28711,T27315T,,,,SS09,SS09,SS09,SS09
T26309T,T26711,T26309H,T26711,T28313T,T28713,T28311H,T28713,T27317T,,,,SS10,SS10,SS10,SS10
T26310T,T26713,T26310H,T26713,T28315T,T28802,T28313H,T28802,T27319T,,,,SS11,SS11,SS11,SS11
T26311T,T26715,T26311H,T26715,T28317T,T28804,T28315H,T28804,T27321T,,,,SS12,SS12,SS12,SS12
T26312T,T26717,T26312H,T26717,T28501T,T28806,T28501H,T28806,T27323T,,,,SS13,SS13,SS13,SS13
T26313T,T26719,T26313H,T26719,T28502T,T28808,T28502H,T28808,T27325T,,,,SS14,SS14,SS14,SS14
